Rank,Name,Team,Position,Age,Tier,Trend,Value,Player Details,Draft Details
1,Josh Allen,BUF,QB1,N/A,N/A,2,9999,N/A,N/A
2,Lamar Jackson,BAL,QB2,N/A,N/A,2,9999,N/A,N/A
3,Justin Jefferson,MIN,WR1,N/A,N/A,1,9985,N/A,N/A
4,Ja'Marr Chase,CIN,WR2,N/A,N/A,2,9971,N/A,N/A
5,Jayden Daniels,WAS,QB3,N/A,N/A,4,9597,N/A,N/A
6,Malik Nabers,NYG,WR3,N/A,N/A,1,8276,N/A,N/A
7,Bijan Robinson,ATL,RB1,N/A,N/A,8,8248,N/A,N/A
8,Jalen Hurts,PHI,QB4,N/A,N/A,10,8242,N/A,N/A
9,Amon-Ra St. Brown,DET,WR4,N/A,N/A,0,8068,N/A,N/A
10,Joe Burrow,CIN,QB5,N/A,N/A,6,8052,N/A,N/A
11,Jahmyr Gibbs,DET,RB2,N/A,N/A,6,7895,N/A,N/A
12,CeeDee Lamb,DAL,WR5,N/A,N/A,4,7883,N/A,N/A
13,C.J. Stroud,HOU,QB6,N/A,N/A,6,7599,N/A,N/A
14,Brock Bowers,LVR,TE1,N/A,N/A,5,7463,N/A,N/A
15,Nico Collins,HOU,WR6,N/A,N/A,1,7391,N/A,N/A
16,Marvin Harrison Jr.,ARI,WR7,N/A,N/A,4,7233,N/A,N/A
17,Patrick Mahomes,KCC,QB7,N/A,N/A,4,7211,N/A,N/A
18,Jordan Love,GBP,QB8,N/A,N/A,8,7095,N/A,N/A
19,Puka Nacua,LAR,WR8,N/A,N/A,6,7081,N/A,N/A
20,Saquon Barkley,PHI,RB3,N/A,N/A,7,6967,N/A,N/A
21,Breece Hall,NYJ,RB4,N/A,N/A,1,6755,N/A,N/A
22,A.J. Brown,PHI,WR9,N/A,N/A,1,6712,N/A,N/A
23,Kyler Murray,ARI,QB9,N/A,N/A,1,6700,N/A,N/A
24,Justin Herbert,LAC,QB10,N/A,N/A,12,6696,N/A,N/A
25,Garrett Wilson,NYJ,WR10,N/A,N/A,4,6617,N/A,N/A
26,De'Von Achane,MIA,RB5,N/A,N/A,11,6481,N/A,N/A
27,Drake London,ATL,WR11,N/A,N/A,5,6480,N/A,N/A
28,Brian Thomas Jr.,JAC,WR12,N/A,N/A,3,6408,N/A,N/A
29,2025 Early 1st,FA,PICK,N/A,N/A,6,6362,N/A,N/A
30,Brock Purdy,SFO,QB11,N/A,N/A,2,6195,N/A,N/A
31,Kyren Williams,LAR,RB6,N/A,N/A,1,6174,N/A,N/A
32,Drake Maye,NEP,QB12,N/A,N/A,10,6158,N/A,N/A
33,Caleb Williams,CHI,QB13,N/A,N/A,22,6116,N/A,N/A
34,Trey McBride,ARI,TE2,N/A,N/A,1,5918,N/A,N/A
35,Kenneth Walker III,SEA,RB7,N/A,N/A,3,5908,N/A,N/A
36,Jonathan Taylor,IND,RB8,N/A,N/A,5,5825,N/A,N/A
37,Christian McCaffrey,SFO,RB9,N/A,N/A,13,5794,N/A,N/A
38,Bo Nix,DEN,QB14,N/A,N/A,44,5713,N/A,N/A
39,2026 Early 1st,FA,PICK,N/A,N/A,5,5688,N/A,N/A
40,George Pickens,PIT,WR13,N/A,N/A,40,5670,N/A,N/A
41,Rashee Rice,KCC,WR14,N/A,N/A,2,5460,N/A,N/A
42,Zay Flowers,BAL,WR15,N/A,N/A,5,5430,N/A,N/A
43,Jaxon Smith-Njigba,SEA,WR16,N/A,N/A,12,5429,N/A,N/A
44,DK Metcalf,SEA,WR17,N/A,N/A,11,5413,N/A,N/A
45,2025 Mid 1st,FA,PICK,N/A,N/A,0,5293,N/A,N/A
46,Baker Mayfield,TBB,QB15,N/A,N/A,2,5275,N/A,N/A
47,DeVonta Smith,PHI,WR18,N/A,N/A,9,5272,N/A,N/A
48,Derrick Henry,BAL,RB10,N/A,N/A,9,5270,N/A,N/A
49,James Cook,BUF,RB11,N/A,N/A,3,5244,N/A,N/A
50,Jayden Reed,GBP,WR19,N/A,N/A,19,5236,N/A,N/A
