Date,Time,Day of Week,Format,Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
2024-11-19,09:33:22,Tuesday,1,1,Ja'Marr Chase,CIN,WR,24.7,1,2,9999,Baseline,9999
2024-11-19,09:33:22,Tuesday,1,1,Ja'Marr Chase,CIN,WR,24.7,1,2,9999,1.1,9999
2024-11-19,09:33:22,Tuesday,1,1,Ja'Marr Chase,CIN,WR,24.7,1,2,9999,1.2,9999
2024-11-19,09:33:22,Tuesday,1,1,Ja'Marr Chase,CIN,WR,24.7,1,2,9999,1.3,9999
2024-11-19,09:33:22,Tuesday,1,2,Justin Jefferson,MIN,WR,25.4,1,-1,9996,Baseline,9996
2024-11-19,09:33:22,Tuesday,1,2,Justin Jefferson,MIN,WR,25.4,1,-1,9996,1.1,9996
2024-11-19,09:33:22,Tuesday,1,2,Justin Jefferson,MIN,WR,25.4,1,-1,9996,1.2,9996
2024-11-19,09:33:22,Tuesday,1,2,Justin Jefferson,MIN,WR,25.4,1,-1,9996,1.3,9996
2024-11-19,09:33:22,Tuesday,1,3,Bijan Robinson,ATL,RB,22.8,2,3,9043,Baseline,9043
2024-11-19,09:33:22,Tuesday,1,3,Bijan Robinson,ATL,RB,22.8,2,3,9043,1.1,9043
2024-11-19,09:33:22,Tuesday,1,3,Bijan Robinson,ATL,RB,22.8,2,3,9043,1.2,9043
2024-11-19,09:33:22,Tuesday,1,3,Bijan Robinson,ATL,RB,22.8,2,3,9043,1.3,9043
2024-11-19,09:33:22,Tuesday,1,4,Malik Nabers,NYG,WR,21.3,2,-2,9000,Baseline,9000
2024-11-19,09:33:22,Tuesday,1,4,Malik Nabers,NYG,WR,21.3,2,-2,9000,1.1,9000
2024-11-19,09:33:22,Tuesday,1,4,Malik Nabers,NYG,WR,21.3,2,-2,9000,1.2,9000
2024-11-19,09:33:22,Tuesday,1,4,Malik Nabers,NYG,WR,21.3,2,-2,9000,1.3,9000
2024-11-19,09:33:22,Tuesday,1,5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8745,Baseline,8745
2024-11-19,09:33:22,Tuesday,1,5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8745,1.1,8745
2024-11-19,09:33:22,Tuesday,1,5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8745,1.2,8745
2024-11-19,09:33:22,Tuesday,1,5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8745,1.3,8745
2024-11-19,09:33:22,Tuesday,1,6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,Baseline,8684
2024-11-19,09:33:22,Tuesday,1,6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,1.1,8684
2024-11-19,09:33:22,Tuesday,1,6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,1.2,8684
2024-11-19,09:33:22,Tuesday,1,6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,1.3,8684
2024-11-19,09:33:22,Tuesday,1,7,CeeDee Lamb,DAL,WR,25.6,2,-3,8485,Baseline,8485
2024-11-19,09:33:22,Tuesday,1,7,CeeDee Lamb,DAL,WR,25.6,2,-3,8485,1.1,8485
