Rank,Name,Team,Position,Age,Tier,Trend,Value
51,Sam LaPorta,DET,TE3,23.8,Tier 12,-12,5191
52,Rome Odunze,CHI,WR20,22.5,Tier 12,-9,5121
53,Ladd McConkey,LAC,WR21,23.0,Tier 12,24,5114
54,Jared Goff,DET,QB16,30.1,Tier 13,5,5016
55,2027 Early 1st,FA,PICK,N/A,Tier 14,3,4921
56,Tee Higgins,CIN,WR22,25.8,Tier 14,-4,4892
57,Anthony Richardson,IND,QB17,22.5,Tier 14,-8,4859
58,J.J. McCarthy,MIN,QB18,21.8,Tier 15,8,4737
59,2026 Mid 1st,FA,PICK,N/A,Tier 15,3,4730
60,Tyreek Hill,MIA,WR23,30.7,Tier 16,-7,4618
61,Joe Mixon,HOU,RB12,28.3,Tier 16,24,4613
62,Isiah Pacheco,KCC,RB13,25.7,Tier 16,10,4593
63,2025 Late 1st,FA,PICK,N/A,Tier 16,6,4577
64,Trevor Lawrence,JAC,QB19,25.1,Tier 16,3,4570
65,Josh Jacobs,GBP,RB14,26.8,Tier 16,16,4558
66,Chris Olave,NOS,WR24,24.4,Tier 16,-18,4541
67,David Montgomery,DET,RB15,27.4,Tier 16,-3,4524
68,Chase Brown,CIN,RB16,24.7,Tier 16,33,4514
69,Jaylen Waddle,MIA,WR25,26.0,Tier 16,-9,4472
70,Terry McLaurin,WAS,WR26,29.2,Tier 16,8,4449
71,Brian Robinson,WAS,RB17,25.7,Tier 17,3,4319
72,Brandon Aiyuk,SFO,WR27,26.7,Tier 17,-16,4315
73,Jonathon Brooks,CAR,RB18,21.3,Tier 17,-10,4313
74,Tank Dell,HOU,WR28,25.0,Tier 17,-4,4304
75,Tua Tagovailoa,MIA,QB20,26.7,Tier 17,27,4300
76,2027 Mid 1st,FA,PICK,N/A,Tier 17,6,4284
77,Tyrone Tracy,NYG,RB19,25.0,Tier 17,39,4278
78,Alvin Kamara,NOS,RB20,29.3,Tier 17,-2,4275
79,Kyle Pitts,ATL,TE4,24.1,Tier 17,17,4265
80,Bucky Irving,TBB,RB21,22.2,Tier 17,7,4241
81,T.J. Hockenson,MIN,TE5,27.4,Tier 17,7,4215
82,Chuba Hubbard,CAR,RB22,25.4,Tier 17,48,4211
83,2026 Late 1st,FA,PICK,N/A,Tier 17,-4,4194
84,Deebo Samuel,SFO,WR29,28.8,Tier 17,-11,4165
85,George Kittle,SFO,TE6,31.1,Tier 17,1,4151
86,Keon Coleman,BUF,WR30,21.5,Tier 17,19,4141
87,Josh Downs,IND,WR31,23.3,Tier 17,5,4111
88,D.J. Moore,CHI,WR32,27.6,Tier 18,-37,4043
89,Cooper Kupp,LAR,WR33,31.4,Tier 19,1,3944
