Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,1.1,9999
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,1.2,9999
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,1.3,9999
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9997,1.1,9997
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9997,1.2,9997
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9997,1.3,9997
3,Bijan Robinson,ATL,RB,22.8,2,5,9045,1.1,9045
3,Bijan Robinson,ATL,RB,22.8,2,5,9045,1.2,9045
3,Bijan Robinson,ATL,RB,22.8,2,5,9045,1.3,9045
4,Malik Nabers,NYG,WR,21.3,2,-3,8997,1.1,8997
4,Malik Nabers,NYG,WR,21.3,2,-3,8997,1.2,8997
4,Malik Nabers,NYG,WR,21.3,2,-3,8997,1.3,8997
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8744,1.1,8744
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8744,1.2,8744
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8744,1.3,8744
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8683,1.1,8683
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8683,1.2,8683
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8683,1.3,8683
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486,1.1,8486
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486,1.2,8486
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486,1.3,8486
8,Brock Bowers,LVR,TE,21.9,3,2,8167,1.1,9044
8,Brock Bowers,LVR,TE,21.9,3,2,8167,1.2,9884
8,Brock Bowers,LVR,TE,21.9,3,2,8167,1.3,9999
9,Nico Collins,HOU,WR,25.7,3,-2,8130,1.1,8130
9,Nico Collins,HOU,WR,25.7,3,-2,8130,1.2,8130
9,Nico Collins,HOU,WR,25.7,3,-2,8130,1.3,8130
10,Marvin Harrison Jr.,ARI,WR,22.3,4,-4,7761,1.1,7761
10,Marvin Harrison Jr.,ARI,WR,22.3,4,-4,7761,1.2,7761
