Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,Baseline,9999
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,1.1,9999
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,1.2,9999
1,Justin Jefferson,MIN,WR,25.4,1,0,9999,1.3,9999
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9998,Baseline,9998
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9998,1.1,9998
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9998,1.2,9998
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9998,1.3,9998
3,Bijan Robinson,ATL,RB,22.8,2,3,9039,Baseline,9039
3,Bijan Robinson,ATL,RB,22.8,2,3,9039,1.1,9039
3,Bijan Robinson,ATL,RB,22.8,2,3,9039,1.2,9039
3,Bijan Robinson,ATL,RB,22.8,2,3,9039,1.3,9039
4,Malik Nabers,NYG,WR,21.3,2,-2,8998,Baseline,8998
4,Malik Nabers,NYG,WR,21.3,2,-2,8998,1.1,8998
4,Malik Nabers,NYG,WR,21.3,2,-2,8998,1.2,8998
4,Malik Nabers,NYG,WR,21.3,2,-2,8998,1.3,8998
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8747,Baseline,8747
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8747,1.1,8747
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8747,1.2,8747
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8747,1.3,8747
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,Baseline,8684
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,1.1,8684
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,1.2,8684
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684,1.3,8684
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486,Baseline,8486
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486,1.1,8486
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486,1.2,8486
